,Case.ID,CD3D,CD3E,CD3G
103,TCGA-HT-7608,-1.3682,-1.2716,-0.8557
104,TCGA-HW-8319,-1.3682,-1.04,-0.9423
105,TCGA-DU-7300,0.7738,1.0901,0.223
106,TCGA-S9-A6TZ,0.235,0.6978,0.3298
107,TCGA-HT-7881,-0.5574,-0.3758,-0.1149
108,TCGA-R8-A6MK,-1.3682,-1.9298,-1.3337
109,TCGA-S9-A6UB,-1.3682,-1.4052,-1.3337
110,TCGA-FG-A4MT,-1.3682,-1.9298,-1.3337
111,TCGA-DH-A66D,-0.1293,0.2116,-1.3337
112,TCGA-FG-A713,-1.3682,-0.9691,-0.8235
113,TCGA-R8-A6ML,-0.0617,0.132,-0.5425
114,TCGA-HT-7884,-0.8453,-1.3072,-0.2737
115,TCGA-DH-5140,0.6529,0.8524,0.7223
116,TCGA-S9-A6WL,-0.3922,-1.3925,-1.3337
117,TCGA-HT-7855,-1.3682,-0.9741,-1.3337
118,TCGA-HT-7482,-0.4935,-1.0402,-1.3337
119,TCGA-S9-A7QY,-0.5973,-0.9853,-1.3337
120,TCGA-QH-A6CU,-0.9493,-0.2889,-1.3337
121,TCGA-DB-5277,-1.0834,-0.3072,-0.5769
122,TCGA-HT-7684,-1.3682,-0.5875,-1.3337
123,TCGA-WY-A85C,-1.0438,-0.0408,-0.846
124,TCGA-S9-A7IZ,-0.1533,-0.1964,-1.3337
125,TCGA-HT-7483,-1.3682,-0.2434,-0.2869
126,TCGA-TM-A84Q,0.2491,0.4877,-0.0935
127,TCGA-HT-7483,-1.3682,-0.2434,-0.2869
128,TCGA-VM-A8CA,-0.95,0.2624,-0.7051
129,TCGA-DB-5278,-0.4821,-0.2109,-0.6473
130,TCGA-QH-A65V,-1.3682,-1.3711,-1.3337
131,TCGA-DU-A7TA,-0.8138,0.2602,-1.3337
132,TCGA-P5-A730,-1.3682,-0.6182,-0.3828
133,TCGA-TM-A84H,-1.0752,-0.6493,-0.8933
134,TCGA-DH-A7UV,-1.0625,-1.1558,-0.8742
135,TCGA-E1-A7Z4,-1.037,-1.1073,-1.3337
136,TCGA-DU-6392,0.9155,0.775,0.3198
137,TCGA-R8-A6ML,-0.0617,0.132,-0.5425
138,TCGA-HT-A61C,0.8152,1.1914,1.33
139,TCGA-HT-7601,1.3318,1.2384,0.9284
140,TCGA-P5-A737,-1.3682,-0.5142,-0.3569
141,TCGA-HT-7475,-0.4453,0.2484,-1.3337
142,TCGA-R8-A6ML,-0.0617,0.132,-0.5425
143,TCGA-DH-A7US,-0.808,-0.2504,-0.8512
144,TCGA-DU-A7TI,-1.3682,-0.459,-0.8174
145,TCGA-DU-8161,2.2013,2.2111,3.2073
146,TCGA-VM-A8C8,-1.3682,-1.1448,-0.7385
147,TCGA-DB-5281,-0.4043,0.0758,-0.0451
148,TCGA-HT-7858,0.9643,1.6798,0.1907
149,TCGA-HT-7877,-1.3682,-0.0865,-0.0002
150,TCGA-E1-A7Z3,-0.9862,-0.5885,-0.0347
151,TCGA-FG-7636,-1.0319,-1.4143,-0.456
152,TCGA-VM-A8CE,-1.3682,-0.7297,-0.4967
153,TCGA-VM-A8CA,-0.95,0.2624,-0.7051
154,TCGA-TM-A84L,-0.0816,0.2768,-0.3732
155,TCGA-DU-6405,0.1113,0.1452,-0.5906
156,TCGA-DH-A7UT,-0.9365,-1.0894,-1.3337
157,TCGA-DU-7007,1.7009,1.8705,2.1976
158,TCGA-HT-7474,-0.6815,-0.181,0.1192
159,TCGA-FG-8185,-1.3682,-1.0681,-1.3337
160,TCGA-HT-7684,-1.3682,-0.5875,-1.3337
161,TCGA-HT-7681,1.3862,1.1655,1.4806
162,TCGA-DU-7302,-1.0906,-1.2109,-1.3337
163,TCGA-QH-A6X8,-1.0517,-0.6591,-1.3337
164,TCGA-CS-6670,-1.3682,-1.0459,-0.8797
165,TCGA-DB-A75K,-0.631,-0.825,-1.3337
166,TCGA-DU-A76K,0.1327,0.4775,-0.935
167,TCGA-R8-A6MK,-1.3682,-1.9298,-1.3337
168,TCGA-HT-7873,-1.3682,-1.2306,-1.3337
169,TCGA-VM-A8CE,-1.3682,-0.7297,-0.4967
170,TCGA-HT-A617,2.2278,2.3271,1.1791
171,TCGA-HT-7607,-0.8807,-0.4251,0.2394
172,TCGA-HT-7605,-0.9396,-0.1754,-0.4514
173,TCGA-HT-8113,0.0712,0.2734,-0.4252
174,TCGA-HT-7608,-1.3682,-1.2716,-0.8557
175,TCGA-P5-A72Z,-0.8722,-1.206,-1.3337
176,TCGA-S9-A6WE,-0.7609,-0.2689,-0.4209
177,TCGA-RY-A83X,-1.3682,-1.1106,-1.3337
178,TCGA-HT-7692,-0.8324,-0.2928,-1.3337
179,TCGA-HW-7486,-0.2872,-0.3416,-0.9009
180,TCGA-HT-7684,-1.3682,-0.5875,-1.3337
181,TCGA-DU-7011,-0.366,0.4655,-0.2582
182,TCGA-VM-A8CB,-0.5306,-1.1904,-1.3337
183,TCGA-VM-A8C8,-1.3682,-1.1448,-0.7385
184,TCGA-R8-A6MO,-0.198,0.6789,-0.4087
185,TCGA-VM-A8CE,-1.3682,-0.7297,-0.4967
186,TCGA-HT-7468,-0.0808,0.5598,0.4787
187,TCGA-TM-A84L,-0.0816,0.2768,-0.3732
188,TCGA-DB-A64U,-0.6431,-1.9298,-1.3337
189,TCGA-HT-7468,-0.0808,0.5598,0.4787
190,TCGA-HT-7481,-1.0604,-0.3809,-0.871
191,TCGA-HT-7473,1.04,1.1877,1.1588
192,TCGA-DU-A76L,1.1714,0.987,0.6484
193,TCGA-HT-7879,-1.3682,-1.2241,-0.9261
194,TCGA-VM-A8CD,-0.2096,0.4438,-0.5906
195,TCGA-S9-A7R1,-0.9725,-0.5595,-1.3337
196,TCGA-HT-7483,-1.3682,-0.2434,-0.2869
197,TCGA-HT-7688,-0.8014,-0.4435,-0.4817
198,TCGA-QH-A86X,0.1846,0.3709,-0.4729
199,TCGA-R8-A6MO,-0.198,0.6789,-0.4087
200,TCGA-HT-7605,-0.9396,-0.1754,-0.4514
201,TCGA-DU-7014,-0.9153,-0.1245,-1.3337
202,TCGA-TQ-A7RG,0.5263,0.2017,-0.7644
203,TCGA-HT-7470,-0.7294,-0.9451,-0.1579
204,TCGA-HT-A5RB,-1.3682,-1.6024,-1.3337
205,TCGA-HT-7691,-0.0289,0.4513,-0.0972
206,TCGA-R8-A6MK,-1.3682,-1.9298,-1.3337
