,Case.ID,CD3D,CD3E,CD3G
453,TCGA-CS-4943,-0.4525,-0.4474,-0.6192
454,TCGA-HT-7472,0.7501,0.6183,1.1398
455,TCGA-S9-A6TV,0.5445,0.8207,-0.2188
456,TCGA-FG-A6IZ,-1.3682,-0.5327,-1.3337
457,TCGA-VM-A8CB,-0.5306,-1.1904,-1.3337
458,TCGA-HT-7677,-0.0762,-0.1056,0.6083
459,TCGA-S9-A7QZ,-0.6322,-0.2277,-0.51
460,TCGA-HT-A5R9,0.7241,1.1948,-1.3337
461,TCGA-HT-A616,-0.208,-1.3664,-0.3745
462,TCGA-VM-A8CB,-0.5306,-1.1904,-1.3337
463,TCGA-HT-7694,-1.099,-0.9312,-0.6143
464,TCGA-DB-A64O,-0.6918,-0.7445,-1.3337
465,TCGA-HT-8106,3.8913,3.7507,5.6371
466,TCGA-P5-A77X,-0.8034,-1.121,-1.3337
467,TCGA-HT-7468,-0.0808,0.5598,0.4787
468,TCGA-HT-7473,1.04,1.1877,1.1588
469,TCGA-VM-A8CF,-0.4966,0.2196,-1.3337
470,TCGA-CS-5393,-1.0473,-0.5143,-0.8513
471,TCGA-HT-7475,-0.4453,0.2484,-1.3337
472,TCGA-DB-A75K,-0.631,-0.825,-1.3337
473,TCGA-HT-7694,-1.099,-0.9312,-0.6143
474,TCGA-DU-6406,0.8142,0.2802,-0.183
475,TCGA-HT-7481,-1.0604,-0.3809,-0.871
476,TCGA-HT-7606,-1.1136,-1.382,-1.3337
477,TCGA-VM-A8C9,2.9269,2.3492,-0.6325
478,TCGA-HT-7602,-0.5885,-0.046,-0.8286
479,TCGA-HT-7607,-0.8807,-0.4251,0.2394
480,TCGA-KT-A74X,0.6538,0.7152,-0.9746
481,TCGA-S9-A89Z,0.6214,0.8777,0.4047
482,TCGA-HT-8109,-0.507,0.0468,-0.0392
483,TCGA-R8-A6MO,-0.198,0.6789,-0.4087
484,TCGA-DU-6542,-0.6185,-0.3481,-0.2068
485,TCGA-HT-7688,-0.8014,-0.4435,-0.4817
486,TCGA-DU-A6S7,-1.3682,-0.6903,-1.3337
487,TCGA-HT-7605,-0.9396,-0.1754,-0.4514
488,TCGA-R8-A6MK,-1.3682,-1.9298,-1.3337
489,TCGA-HT-7687,1.0118,0.7993,0.4421
490,TCGA-DB-A4X9,-1.3682,-0.9877,-1.3337
491,TCGA-HT-7856,-0.7493,0.0136,-1.3337
492,TCGA-FG-6692,1.8148,1.838,1.33
493,TCGA-CS-5396,0.0291,0.2314,-0.9529
494,TCGA-TM-A84J,-1.3682,-1.2514,-1.3337
495,TCGA-HT-7609,-1.3682,-1.2833,-1.3337
496,TCGA-DU-A7TJ,0.1969,0.5536,-0.6214
497,TCGA-FG-7637,-1.0809,-0.047,-0.5708
498,TCGA-HT-7607,-0.8807,-0.4251,0.2394
499,TCGA-HW-7491,-0.5198,-0.8568,-0.6827
500,TCGA-S9-A6TW,1.2117,0.8113,-0.7647
501,TCGA-HT-7856,-0.7493,0.0136,-1.3337
502,TCGA-CS-5394,-0.8832,-1.3489,-1.3337
503,TCGA-HT-7608,-1.3682,-1.2716,-0.8557
504,TCGA-VM-A8C9,2.9269,2.3492,-0.6325
505,TCGA-E1-A7YW,-1.0103,-1.058,-1.3337
506,TCGA-DU-7294,-0.8824,-1.107,-0.6034
507,TCGA-S9-A7J1,-0.4881,-0.3497,-1.3337
508,TCGA-CS-6290,0.5885,0.8602,0.6455
509,TCGA-HT-8558,-1.0811,-0.5435,-1.3337
510,TCGA-R8-A6MO,-0.198,0.6789,-0.4087
511,TCGA-HT-7684,-1.3682,-0.5875,-1.3337
512,TCGA-DU-A5TP,0.2486,1.179,1.1987
513,TCGA-VM-A8CA,-0.95,0.2624,-0.7051
514,TCGA-FG-A60K,-1.0339,-0.0508,-0.4606
515,TCGA-DU-5872,0.2478,0.686,0.5572
516,TCGA-E1-A7YM,-0.7189,-0.0591,-1.3337
517,TCGA-HW-A5KK,1.2933,1.7866,1.0984
518,TCGA-VM-A8CH,-0.5335,-0.6235,-0.784
519,TCGA-DB-5275,-0.712,-0.1918,-0.3474
520,TCGA-HT-7857,2.6267,2.4747,3.7545
521,TCGA-HT-7607,-0.8807,-0.4251,0.2394
522,TCGA-HW-8322,-0.3141,0.3184,-0.679
523,TCGA-FG-A87Q,1.5114,1.4016,0.4457
524,TCGA-HT-8564,0.6915,0.9631,0.6297
525,TCGA-HT-8114,0.8368,0.9802,0.0379
526,TCGA-HT-7610,-1.1409,-0.8965,-0.486
527,TCGA-HT-7694,-1.099,-0.9312,-0.6143
528,TCGA-WH-A86K,0.2975,0.0448,-1.3337
529,TCGA-FG-A6J3,2.651,1.9805,-0.7259
530,TCGA-HT-7686,1.0383,0.5899,-0.5526
531,TCGA-HT-7620,-1.3682,-0.6383,-0.7314
532,TCGA-VV-A829,-0.6114,-0.3908,-1.3337
533,TCGA-HT-7479,0.254,0.2917,-0.8765
534,TCGA-S9-A6U0,2.7143,2.7991,2.7473
535,TCGA-VM-A8CE,-1.3682,-0.7297,-0.4967
536,TCGA-FG-A60J,0.1879,0.6162,-0.8374
538,TCGA-P5-A72U,2.4075,2.5966,2.2133
539,TCGA-FG-8189,-1.0125,-1.388,-1.3337
540,TCGA-TQ-A7RV,-0.6454,-0.8423,-0.8734
541,TCGA-HT-7473,1.04,1.1877,1.1588
542,TCGA-R8-A6MO,-0.198,0.6789,-0.4087
543,TCGA-HT-8018,1.3406,1.4226,0.698
544,TCGA-FG-A4MT,-1.3682,-1.9298,-1.3337
545,TCGA-HT-7681,1.3862,1.1655,1.4806
546,TCGA-FG-A710,0.2573,0.2547,-0.9053
547,TCGA-HT-7880,-0.0905,0.4158,0.0186
548,TCGA-HT-7677,-0.0762,-0.1056,0.6083
549,TCGA-TM-A84C,-0.6897,0.0014,-0.3138
550,TCGA-HT-7879,-1.3682,-1.2241,-0.9261
551,TCGA-DU-7019,-0.329,0.3325,-0.3484
552,TCGA-DB-5270,0.1728,0.5194,-0.1094
553,TCGA-DU-5874,-0.5176,-1.1789,-0.6807
554,TCGA-HT-7676,-0.3277,0.1614,-0.8546
555,TCGA-VM-A8CA,-0.95,0.2624,-0.7051
556,TCGA-FG-A87N,-0.5073,-0.3865,-0.6711
557,TCGA-DB-A64V,1.184,1.5635,0.792
558,TCGA-DH-A66F,-1.0013,-0.4039,-1.3337
559,TCGA-HT-7476,-0.0825,0.6554,0.4391
560,TCGA-E1-A7YL,2.0328,1.9603,1.741
561,TCGA-FG-A60L,1.1939,-0.0225,-0.7403
562,TCGA-HT-7677,-0.0762,-0.1056,0.6083
563,TCGA-R8-A6MK,-1.3682,-1.9298,-1.3337
564,TCGA-S9-A6WI,-1.0856,-0.6766,-0.5821
565,TCGA-CS-6188,-0.521,0.3787,0.3083
566,TCGA-KT-A74X,0.6538,0.7152,-0.9746
567,TCGA-R8-A6ML,-0.0617,0.132,-0.5425
568,TCGA-DU-A7TC,-0.8216,-1.2815,-1.3337
569,TCGA-TQ-A7RM,-0.5916,-0.6163,-0.7487
570,TCGA-TQ-A7RN,-1.3682,-1.5218,-0.9444
571,TCGA-HT-7684,-1.3682,-0.5875,-1.3337
572,TCGA-HT-7605,-0.9396,-0.1754,-0.4514
